"question","answer","domain"
"Default Service type?","ClusterIP.","Services & Networking"
"What does `k expose` create?","a Service whose selector matches the target's pod labels.","Services & Networking"
"What populates a Service's Endpoints / EndpointSlices?","pods that match the selector **and** are Ready.","Services & Networking"
"Service has zero endpoints — first two checks?","selector labels vs pod labels, and pod readiness.","Services & Networking"
"LoadBalancer Service in bare kind — external IP?","stays `<pending>` without a provider/MetalLB; the NodePort it allocates still works.","Services & Networking"
"DNS record shape for a Service?","`svc-name.namespace.svc.cluster.local`.","Services & Networking"
"DNS A record for a Pod by IP?","`pod-ip-dashed.namespace.pod.cluster.local` (e.g. `10-1-2-3.ns.pod.cluster.local`).","Services & Networking"
"Headless Service DNS behavior?","`clusterIP: None`; DNS returns each Ready pod's own A record (per-pod), no single VIP.","Services & Networking"
"Which image gives reliable `nslookup` in drills, and why?","`busybox:1.28`; newer busybox has a broken `nslookup` for cluster DNS.","Services & Networking"
"One-liner to test DNS from a throwaway pod?","`k run t --image=busybox:1.28 --restart=Never -it --rm -- nslookup <svc>`.","Services & Networking"
"Which pods provide cluster DNS, and what fronts them?","CoreDNS pods in `kube-system`, fronted by the `kube-dns` Service.","Services & Networking"
"Typical cluster DNS service IP?","the `.10` of the service CIDR (e.g. `10.96.0.10`).","Services & Networking"
"Ingress apiVersion + kind?","`networking.k8s.io/v1`, kind `Ingress`.","Services & Networking"
"What ties an Ingress to a specific controller?","`ingressClassName` (an IngressClass object).","Services & Networking"
"What must be running for an Ingress to route at all?","an Ingress controller (nginx, etc.).","Services & Networking"
"Gateway API core apiVersion?","`gateway.networking.k8s.io/v1`.","Services & Networking"
"The three main Gateway API kinds?","GatewayClass, Gateway, HTTPRoute.","Services & Networking"
"How does an HTTPRoute attach to a Gateway?","via `parentRefs`.","Services & Networking"
"NetworkPolicy apiVersion?","`networking.k8s.io/v1`.","Services & Networking"
"Pod networking with no policy selecting it?","all ingress and egress allowed (fully open).","Services & Networking"
"What happens the moment a policy selects a pod for a direction?","that direction becomes default-deny; only the listed rules are permitted.","Services & Networking"
"Shape of a default-deny-all-ingress policy?","`podSelector: {}` + `policyTypes: [Ingress]` with no ingress rules:","Services & Networking"
"The egress rule you must never forget when writing default-deny egress?","allow DNS to kube-dns on **both** UDP 53 and TCP 53:","Services & Networking"
"Two separate list items under `from:` — AND or OR?","OR (union of sources).","Services & Networking"
"One `from:` item with both podSelector and namespaceSelector — AND or OR?","AND (both must match).","Services & Networking"
"What does `policyTypes` control?","whether Ingress, Egress, or both are enforced for the selected pods.","Services & Networking"
"To match a namespace by name in namespaceSelector, what must the namespace carry?","a label, e.g. the automatic `kubernetes.io/metadata.name=<ns>`.","Services & Networking"
"Fast doc path for a copy-paste NetworkPolicy?","search ""network policies""; the concept page has default-deny and allow examples.","Services & Networking"
"The four PV access modes?","RWO (ReadWriteOnce), ROX (ReadOnlyMany), RWX (ReadWriteMany), RWOP (ReadWriteOncePod).","Storage"
"RWO scope — node or pod?","node-level: one **node** mounts read-write (multiple pods on that node can share it).","Storage"
"RWOP scope?","exactly **one pod** cluster-wide.","Storage"
"The two reclaim policies you actually use?","`Retain` (keep data, clean up manually) and `Delete` (delete the backing volume); `Recycle` is deprecated.","Storage"
"Default reclaim policy for a dynamically provisioned PV?","`Delete` (inherited from the StorageClass).","Storage"
"What does `volumeBindingMode: WaitForFirstConsumer` do?","delays binding/provisioning until a pod using the PVC is scheduled (topology-aware).","Storage"
"The other volumeBindingMode value?","`Immediate` (bind/provision as soon as the PVC is created).","Storage"
"What must match for a PVC to bind a PV?","accessModes, capacity (PV ≥ PVC request), and storageClassName (plus a selector if set).","Storage"
"PVC stuck Pending with no dynamic provisioner — cause?","no matching PV exists and no StorageClass is available to provision one.","Storage"
"Force a PVC to bind only pre-created PVs (no class)?","set `storageClassName: """"`.","Storage"
"Annotation that marks a StorageClass as default?","`storageclass.kubernetes.io/is-default-class: ""true""`.","Storage"
"During binding, PV capacity vs PVC request?","PV capacity must be **≥** the PVC's requested size.","Storage"
"Exit code 0?","success / clean exit.","Troubleshooting"
"Exit code 1?","general application error.","Troubleshooting"
"Exit code 137?","128+9, SIGKILL — usually OOMKilled or a forced kill.","Troubleshooting"
"Exit code 143?","128+15, SIGTERM — the graceful-termination signal.","Troubleshooting"
"General formula for signal exit codes?","128 + signal number.","Troubleshooting"
"What does CrashLoopBackOff mean?","the container keeps exiting and the kubelet is backing off restarts (delay grows up to 5 min).","Troubleshooting"
"Standard pod-debug sequence?","`k describe pod` (Events) → `k logs` (+`--previous`) → `k get events` → node/kubelet.","Troubleshooting"
"Read logs from a crashed *previous* container?","`k logs <pod> -c <c> --previous`.","Troubleshooting"
"Pod stuck Pending — where's the reason?","`k describe pod` Events (scheduler: insufficient cpu/mem, taints, unbound PVC).","Troubleshooting"
"ImagePullBackOff — what to check?","image name/tag, registry auth (`imagePullSecrets`), and node network to the registry.","Troubleshooting"
"Node NotReady — first thing to check?","the kubelet on that node (`systemctl status kubelet`, `journalctl -u kubelet`).","Troubleshooting"
"Follow kubelet logs?","`journalctl -u kubelet -f`.","Troubleshooting"
"kubelet config file path?","`/var/lib/kubelet/config.yaml`.","Troubleshooting"
"Restart the kubelet?","`systemctl restart kubelet`.","Troubleshooting"
"Node pressure conditions to look for?","MemoryPressure, DiskPressure, PIDPressure (alongside Ready).","Troubleshooting"
"Top pods by resource usage?","`k top pods` (needs metrics-server).","Troubleshooting"
"Top nodes by resource usage?","`k top nodes`.","Troubleshooting"
"Tail logs across all pods of a label?","`k logs -l app=web -f --prefix`.","Troubleshooting"
"Mark a node unschedulable without evicting?","`k cordon <node>`.","Troubleshooting"
"Drain flags you almost always need?","`--ignore-daemonsets --delete-emptydir-data`.","Troubleshooting"
"What does `k drain` actually do?","cordons the node and evicts pods respecting PodDisruptionBudgets; DaemonSet pods require `--ignore-daemonsets`.","Troubleshooting"
"Undo a cordon/drain?","`k uncordon <node>`.","Troubleshooting"
"apiserver won't come up after you edited its static-pod manifest — where to look?","kubelet logs (`journalctl -u kubelet`) and the manifest at `/etc/kubernetes/manifests/kube-apiserver.yaml`.","Troubleshooting"
"Inspect containers when `kubectl` itself is down?","`crictl` (`crictl ps`, `crictl logs`) against the CRI socket.","Troubleshooting"
